,pvalue
random1,6.040520879325368e-05
random2,0.0005456495385990159
random3,0.0011891523603444758
random4,0.0002863321445639347
random5,1.5035186592120184e-05
random6,1.5626729756587915e-06
random7,0.00010885661399184702
random8,5.526601434693597e-05
random9,0.0001470145121568227
random10,5.4829940060640394e-05
random11,0.0001228353594282943
random12,0.0006792589627181102
random13,6.848955964843445e-06
random14,3.394331388850893e-05
random15,0.00011870790559990161
random16,1.3068059309145778e-05
random17,1.5716466973090008e-05
random18,5.232249652567193e-05
random19,3.638224573092363e-05
random20,2.3791409609465297e-05
random21,0.00011983144390302093
random22,1.6522791536911613e-05
random23,0.00011820858648865154
random24,8.553753175745838e-05
random25,0.0001173387767588901
random26,2.8680738490079096e-05
random27,0.00029138577177100004
random28,3.276270400663641e-05
random29,0.0003207497130278756
random30,5.07214318467016e-05
random31,9.30572626385681e-06
random32,0.0007541323620493215
random33,0.0005281308919501152
random34,1.2576439178027859e-05
random35,2.6537967459867284e-05
random36,2.621208570637333e-05
random37,0.0001732405541415631
random38,0.0005391926520207512
random39,3.0322677459797054e-06
random40,8.254719199840006e-05
random41,4.222895244304262e-06
random42,4.339921482684759e-05
random43,0.0001060853852809382
random44,2.1353837033942582e-05
random45,4.242743271643145e-05
random46,0.00014117749070027935
random47,6.456733310264621e-05
random48,0.005825014659744254
random49,0.0017854812756177931
random50,0.000111989994909057
random51,0.0007860736704468237
random52,0.01047189938529301
random53,1.647156797113917e-05
random54,0.0015264961808181246
random55,0.0004204807307137343
random56,8.343133995024641e-05
random57,0.000530011624689462
random58,0.001995642153363972
random59,0.0003137946923441422
random60,0.00011231833351988022
random61,2.4186396934306653e-05
random62,4.5888859573312944e-05
random63,3.1527817605392194e-05
random64,4.834900239866455e-05
random65,0.0006867066232557615
random66,7.161419029397743e-05
random67,4.221869145752007e-05
random68,3.343443930561299e-05
random69,3.771510338860112e-05
random70,0.0001484446608270012
random71,2.6018378198466167e-05
random72,0.00012203236448535752
random73,2.216171553064431e-05
random74,2.1415981991391483e-05
random75,6.61991342868013e-05
random76,6.34118018369229e-05
random77,8.863490484173154e-06
random78,1.0327463966573714e-05
random79,1.5248098904103542e-05
random80,0.00014888287451135488
random81,4.597672992521405e-05
random82,2.1338852865594755e-05
random83,4.0304777679181406e-05
random84,0.000437652201588842
random85,3.0880717807565105e-05
random86,0.00021965162790719286
random87,2.742335732086434e-05
random88,0.0001826452845659135
random89,0.0001232206871954533
random90,5.506888904891811e-05
random91,2.942696823571397e-05
random92,8.667121471385066e-05
random93,4.538362833565367e-05
random94,7.426883469836925e-05
random95,0.000135990215074032
random96,1.956094195453102e-05
random97,7.926892180328686e-05
random98,5.299622701258303e-05
random99,1.3095147475496832e-05
random100,0.001073640836830426
random101,2.0454459148218938e-05
random102,0.003063626149606453
random103,6.602373593332623e-05
random104,5.856609994184363e-05
random105,2.8624187688502712e-05
random106,0.001936866271245212
random107,0.0007116892122063258
random108,2.4712967000919734e-05
random109,4.225405791831271e-06
random110,4.6771235276323804e-05
random111,6.231017858238623e-05
random112,1.8418852089835785e-05
random113,1.7865743063327946e-05
random114,0.0004953125729916902
random115,1.3480121915890645e-05
random116,1.3287615760181749e-05
random117,0.00010283940203944687
random118,2.0538436912434114e-05
random119,0.0002225226733040393
random120,1.259742857592315e-05
random121,1.8425757640800026e-05
random122,2.1441916300799678e-05
random123,0.0008495561798598154
random124,0.00044318856358350486
random125,3.643620391383768e-05
random126,4.599371038183318e-05
random127,5.003386981543406e-05
random128,0.00039902603562508597
random129,8.120121884639666e-05
random130,0.0009436071855963654
random131,0.00577484937771761
random132,0.00032794239712390425
random133,0.00017404479418051997
random134,1.1324618182446427e-05
random135,6.52957439233383e-05
random136,0.00017453622524833218
random137,1.9708055662072507e-05
random138,0.00013755859573958874
random139,0.0007349130057939424
random140,5.596381451506484e-05
random141,0.00043867364541835834
random142,0.00015241088775239833
random143,3.935317284889839e-05
random144,0.0002713984235708216
random145,7.113656741884327e-05
random146,0.0002553777598983972
random147,0.00017670646208594798
random148,2.063216294855333e-05
random149,0.0002950023514996832
random150,3.1973478043979876e-05
random151,0.00020483055082926745
random152,1.3531247861021378e-05
random153,7.737971923025042e-06
random154,0.0019413784159736881
random155,8.11389039321441e-06
random156,2.299885025301741e-05
random157,0.00043121100517950654
random158,1.747849365979806e-05
random159,0.00036239195471555785
random160,6.304503794303602e-05
random161,0.00012209588888736317
random162,0.000696624919895729
random163,0.0023004861524079712
random164,0.00032795785539693577
random165,0.0004195949940254592
random166,0.008462244987583002
random167,6.577328379542564e-05
random168,7.545720177048143e-05
random169,0.00014158986750172897
random170,0.0001155874587911219
random171,0.00066564414794415
random172,8.436153467471942e-05
random173,0.0008163674921943208
random174,0.004081411830220968
random175,1.2086352994567273e-05
random176,0.005780956022072166
random177,2.7813276057986047e-05
random178,1.4664363825753188e-05
random179,0.000283346524788037
random180,3.4694494676788095e-05
random181,7.559123838685442e-05
random182,4.222488864966503e-05
random183,0.00012237501735069448
random184,2.9072828778804566e-05
random185,5.039662076925406e-05
random186,0.0002564673972826126
random187,0.007101955754453389
random188,4.504319300956436e-06
random189,3.847172973146332e-05
random190,0.0006599041143352417
random191,3.208337135804332e-06
random192,0.00018966147692358896
random193,3.715424991887306e-05
random194,1.8425444347229032e-05
random195,0.00019444006440480908
random196,3.014817588343864e-05
random197,0.0003693352756176576
random198,0.0001153724802299813
random199,5.0904628115273456e-05
random200,4.736828494513686e-06
random201,0.006330021905567575
random202,0.00011346113674915931
random203,0.0017690470697856332
random204,0.0003796904098434209
random205,0.0002566502302425447
random206,1.704969527227368e-05
random207,5.955630042494044e-05
random208,0.00011835782130606487
random209,0.0003547796756940798
random210,3.727203202664173e-05
random211,6.557515362583042e-05
random212,1.0879795066051211e-05
random213,0.00017179237966974658
random214,3.4324536823445155e-06
random215,0.001048642249266432
random216,0.0005283475307264603
random217,1.5653587813995362e-05
random218,4.007537789622819e-05
random219,1.6708553767166776e-05
random220,0.0004322505584088794
random221,0.0011441981276658164
random222,0.0002570567838160959
random223,5.907640507660374e-06
random224,0.002446828586644734
random225,4.619183676937546e-05
random226,0.0033482534497567516
random227,5.5475604878919366e-05
random228,0.0002239530488627078
random229,0.0029890934609732214
random230,0.000116148560563163
random231,2.399138535489858e-05
random232,0.00047442044453061146
random233,1.826968575605164e-05
random234,0.0001370363741513201
random235,9.644017549443918e-05
random236,0.0014433664439556313
random237,3.704075237972537e-05
random238,5.7366679107386095e-05
random239,0.00017620386073058497
random240,4.968144732498484e-05
random241,1.5544273746355115e-05
random242,0.00031756339922724716
random243,1.3423633288976801e-05
random244,0.00011374174221055604
random245,0.003055098845516671
random246,0.001642763236707404
random247,0.0006486737401399717
random248,9.465687108767466e-07
random249,0.000289848729592558
random250,2.095233546475478e-05
random251,3.0805193262793864e-05
random252,3.564519534118742e-05
random253,0.00031058668237853075
random254,7.378999209661685e-06
random255,1.6290919845227655e-05
random256,3.353006882344582e-05
random257,0.0002129837157309421
random258,4.154404258989281e-05
random259,1.9929963798598366e-05
random260,0.00010978347191381581
random261,9.535418531012104e-05
random262,8.661098856704676e-06
random263,3.567035450273659e-05
random264,0.00044361666976620395
random265,5.259423485711334e-06
random266,2.6854250919107385e-05
random267,0.0011471740741326357
random268,0.00032484230156025245
random269,4.0309609248360274e-05
random270,3.6844024878194795e-05
random271,0.00010286865016057268
random272,5.013545291668566e-06
random273,4.660260212759321e-06
random274,7.176391408646376e-05
random275,0.0001005202578423078
random276,4.6145895743599146e-05
random277,0.0009119307534225634
random278,4.813640446195146e-05
random279,0.00011662238585769738
random280,0.0004681754929862613
random281,0.0001553541906223234
random282,0.0004899427322686417
random283,0.0001291508819776905
random284,9.797034376152729e-05
random285,5.963134563302971e-05
random286,3.8904910467072905e-06
random287,1.1841816275684138e-05
random288,0.0006300802402211323
random289,1.1594220130603208e-05
random290,0.0001836279290613539
random291,0.00024170850079841964
random292,0.00021614626537913256
random293,0.0003630028069897264
random294,0.00015203680754299572
random295,0.0011539755162563098
random296,0.00017655309395713358
random297,8.654668540138923e-05
random298,0.0008367034754380351
random299,5.2507640036479874e-05
random300,0.00035452700935050224
random301,0.0005632801974466305
random302,0.0008365416825146317
random303,3.7480140889307e-05
random304,1.577998913203878e-05
random305,0.008772229038943442
random306,0.00037300850747354786
random307,1.0374916624783728e-05
random308,0.00019685786546131382
random309,3.647638099894036e-05
random310,0.011635066072607846
random311,1.4860413654041975e-05
random312,2.5043900527055154e-05
random313,1.6237359009462313e-05
random314,0.00014252641516838808
random315,0.00016872567642393932
random316,0.00030770910838082843
random317,2.3617512556337547e-05
random318,0.0011138731814611565
random319,0.00043607370427761467
random320,2.0833457096287963e-06
random321,1.2118230271438844e-05
random322,5.5660371053126165e-05
random323,7.1075721854242345e-06
random324,8.11457250806578e-05
random325,1.7830821287634513e-05
random326,0.0008773591804342683
random327,0.00014805700640979112
random328,3.281262925142e-06
random329,5.429009802798268e-05
random330,0.00030490043259540886
random331,0.0010582677245661305
random332,0.0001711591042795877
random333,0.00018810648836077088
random334,3.911004952438258e-05
random335,0.0016410398079771012
random336,0.00010516764368335699
random337,0.0006367648525139895
random338,8.77137258091862e-06
random339,2.5465030985540862e-05
random340,4.879634874857093e-06
random341,0.0001504369128154465
random342,1.4962202510404555e-05
random343,4.9874654700975844e-05
random344,1.941700704863829e-05
random345,0.00011265580721933957
random346,4.005027285764628e-05
random347,6.227652908797562e-05
random348,7.709479332742502e-05
random349,0.00088217665417405
random350,0.00043648578750441695
random351,0.00021135230727614655
random352,7.263050394847171e-05
random353,0.00014404507272267587
random354,4.729403682657025e-05
random355,0.0011294392466788992
random356,0.0001588288925576507
random357,5.6258198873084724e-05
random358,0.00012177116714932488
random359,4.881244318951651e-05
random360,8.887566221454427e-05
random361,0.0001675514138236922
random362,0.00012578902211289128
random363,0.0005322663157548247
random364,0.00020711395807021846
random365,1.0227882123351124e-05
random366,7.663760777274635e-05
random367,0.0001177057646890865
random368,6.930447971359121e-05
random369,0.00019589325408679126
random370,0.00048093653139888676
random371,3.019770594831664e-05
random372,2.874667557839836e-05
random373,0.0036805191123087497
random374,2.3163295766526652e-05
random375,6.027159128229316e-05
random376,0.00011586113315297428
random377,0.0008820744982735529
random378,0.0013113621683411563
random379,2.9946551965172103e-05
random380,0.0014511735389891559
random381,7.598093839846263e-05
random382,6.738377887789548e-06
random383,6.858969650262062e-05
random384,9.5437345741884e-05
random385,0.00018747418644148413
random386,0.001002400253999754
random387,1.1924912314878345e-05
random388,0.0021305706128938074
random389,0.0001467167365708005
random390,7.861499155400568e-05
random391,3.143584971112548e-05
random392,0.00037332755702705026
random393,4.239656417824997e-05
random394,1.5152905374682224e-05
random395,2.189837754890173e-06
random396,8.10535075181942e-05
random397,9.050901388134543e-06
random398,2.4830773320079604e-05
random399,0.00016462556106085406
random400,2.4553652973690574e-05
random401,3.284160072666943e-05
random402,8.311341092146148e-05
random403,0.00011390291031250785
random404,8.809600709109366e-06
random405,0.00048729590870260557
random406,6.873235769033156e-05
random407,0.0006679783790653232
random408,0.00036947780381393886
random409,5.2308546740260604e-05
random410,0.0006259901071990666
random411,0.0006833494662020452
random412,0.00036181034397981534
random413,8.293077131558117e-05
random414,0.0010818813975512819
random415,0.0012584363341979585
random416,0.0021046157334248462
random417,0.0011203219532889461
random418,3.232048258869472e-05
random419,7.015349832555913e-05
random420,7.0572654944150366e-06
random421,8.711792202095985e-05
random422,0.00020678123261147073
random423,7.067270132064983e-05
random424,1.6430090933609638e-05
random425,0.00010246263015688492
random426,5.238006298386984e-05
random427,5.3247371430034225e-05
random428,8.563531842580585e-05
random429,9.944024762955965e-06
random430,1.831375761531816e-05
random431,0.0001285084026191503
random432,0.0020855445078473275
random433,0.00025553729198397033
random434,0.0011572289700217861
random435,8.67404473057264e-05
random436,0.0002505434024221518
random437,1.4829497543391326e-06
random438,1.1637808273645799e-05
random439,3.7796021253045106e-06
random440,8.786660110758596e-05
random441,6.933134247024417e-05
random442,5.266864730165136e-05
random443,1.3754576271033816e-06
random444,1.7780538426992666e-06
random445,0.0036459957809298477
random446,4.920661244911493e-05
random447,9.404345087113289e-05
random448,0.0001736009886081942
random449,0.00026673538711159846
random450,0.00010985032135665257
random451,0.0009504046039440849
random452,5.4806753742728805e-05
random453,0.000537440705780977
random454,0.0003155849890203032
random455,4.199678565695594e-05
random456,0.0001716374218936067
random457,0.0005505881661085701
random458,4.3280571748138375e-05
random459,0.00014943288146967716
random460,2.783942242843658e-05
random461,9.049890504018914e-05
random462,3.5142129865849394e-05
random463,0.00010416060973195407
random464,0.0003162719542508882
random465,0.0001134606019925593
random466,4.096472705591098e-05
random467,0.00198398974706131
random468,0.0008374398151568691
random469,0.0015707978641035512
random470,1.0286206908112374e-05
random471,7.07423782214908e-06
random472,0.00016950698678073597
random473,1.4216543963839395e-05
random474,0.00014160738645336795
random475,0.0005333564536035833
random476,0.00026435235605146466
random477,0.0003592840497940236
random478,0.0037714893815517223
random479,0.0005501575417230604
random480,6.077255222786505e-05
random481,5.793715791759247e-05
random482,0.00016638247029204808
random483,1.865306587353832e-05
random484,7.727963105713575e-05
random485,1.708243968723274e-05
random486,0.0026524263366409693
random487,4.51743510838774e-05
random488,3.4261453130432166e-05
random489,5.27408476716011e-05
random490,8.158252908314693e-05
random491,0.0008028518265846013
random492,0.00023567961600007203
random493,6.85756483073113e-05
random494,7.480333488552412e-05
random495,9.200870733403411e-05
random496,1.6351105855394135e-05
random497,0.001370093221284222
random498,3.358836513309762e-05
random499,0.0018153333982615617
random500,0.0006261600657802712
random501,0.007626529323281399
random502,3.0514909045970483e-05
random503,0.00015647847670155788
random504,5.155038366252329e-05
random505,4.7350555161517464e-05
random506,2.4791123648440493e-05
random507,8.626460911727508e-05
random508,5.577448131980717e-05
random509,1.2870134732433825e-05
random510,0.00013940092762347616
random511,3.263289242540106e-05
random512,0.0007179236942930024
random513,0.0009102216170715276
random514,0.00010604797161679963
random515,6.34252106355167e-05
random516,0.00013742615547224888
random517,0.0007768114162021832
random518,0.0003591165307351092
random519,0.0008039906629508501
random520,2.4685076892181202e-05
random521,7.902815074609046e-05
random522,0.0002502435720511166
random523,0.0006362550501789643
random524,0.0008298493250869048
random525,5.8077502440045474e-05
random526,9.22571730779019e-05
random527,0.0011154226128056546
random528,0.00016347744623050522
random529,3.7727527142923487e-06
random530,0.0001079031233370989
random531,3.16836299466853e-05
random532,0.0005478748676399577
random533,3.220315342447569e-05
random534,7.295051760693499e-05
random535,0.00013414080158917398
random536,0.0011149491456183313
random537,0.005340534329997799
random538,2.5729055279222484e-06
random539,0.0004163532955963161
random540,0.00028981728557341923
random541,0.00022730165606318805
random542,2.713984568585128e-06
random543,3.90119910211008e-05
random544,0.00018319523844594648
random545,9.474635154963556e-05
random546,4.6805083057782396e-05
random547,0.0001328015005511354
random548,3.051315925893124e-05
random549,1.619112298214455e-05
random550,0.0008854339602070222
random551,0.000314504278864829
random552,6.297875364792547e-05
random553,0.00019068483871807244
random554,6.2565331336643525e-06
random555,1.2393660989669933e-05
random556,0.0012371146085091707
random557,0.000437721022683521
random558,0.0032512114291327896
random559,0.0006131675448020513
random560,3.6387152477874886e-05
random561,7.289004682339426e-05
random562,5.0390643971581765e-05
random563,0.00011004240098063062
random564,9.857321235881226e-05
random565,0.0001497505899978102
random566,8.473227109363153e-05
random567,0.000872043270536616
random568,4.0554657158144496e-05
random569,5.2956520380168405e-05
random570,0.0003466752750783267
random571,0.0001515717861215912
random572,2.0963698847451932e-05
random573,0.0006801490155329976
random574,0.000495126870946748
random575,8.539907164964069e-05
random576,6.334317575553471e-06
random577,0.001130935223644881
random578,9.365466863774633e-05
random579,2.9704312879213954e-05
random580,0.00015908053717595728
random581,1.6907573215426737e-05
random582,4.985527243574403e-05
random583,9.044639082530364e-06
random584,0.0033336986696997227
random585,0.0005829923393317892
random586,0.0005523045717905678
random587,0.00042313254585546456
random588,0.003954368514989613
random589,0.0007426649400716436
random590,7.645773455150921e-05
random591,0.00030547766076908156
random592,7.327168123655139e-06
random593,0.0003575920762511378
random594,8.158694060331696e-05
random595,0.00012513618739929525
random596,4.84421351417306e-06
random597,3.548233184540992e-05
random598,0.0006624619208390005
random599,1.0104296507771354e-05
random600,1.4942949804033902e-05
random601,7.60086776090045e-05
random602,1.3736875969827321e-05
random603,0.0003063166085780205
random604,6.22132101892667e-05
random605,0.001724216366503973
random606,0.00035260218586663814
random607,6.341317267612144e-06
random608,4.059218939559516e-05
random609,1.9911536777077573e-05
random610,8.71441193951825e-05
random611,0.001264590162635974
random612,4.821648964008861e-05
random613,1.2504770578823941e-05
random614,6.013159151677234e-06
random615,0.0006878141723668716
random616,5.7925932655397965e-05
random617,0.005698126918063073
random618,5.7575491578581664e-05
random619,1.667276989407587e-05
random620,3.9532246955723436e-05
random621,0.00010824259440227965
random622,0.00016889011402756966
random623,0.0005412729370771963
random624,1.369385030829876e-05
random625,0.00014012317772116228
random626,8.718503728995361e-05
random627,6.0018756179280434e-05
random628,0.0010374389106929361
random629,0.00016314421574708488
random630,2.7155273224532337e-05
random631,2.5170290447558827e-05
random632,3.831008200350117e-05
random633,2.462389249882695e-05
random634,0.0007483691899193857
random635,4.608357230615748e-06
random636,0.0008061955046994423
random637,1.854088756749874e-05
random638,3.4807775695953055e-05
random639,2.228663220929545e-05
random640,0.007941665986433132
random641,8.936426317219413e-06
random642,5.4771035651863915e-05
random643,5.15547881360862e-05
random644,0.0006747625430138072
random645,3.977494618398468e-05
random646,8.836899731667063e-05
random647,0.0008387902468929695
random648,0.0003156752905316788
random649,8.540534861287399e-05
random650,0.00011715802049971502
random651,4.627837642980806e-05
random652,0.00011784474657530396
random653,0.005311976281659597
random654,1.3306476014277973e-05
random655,0.0003558331830160654
random656,8.834924235009319e-05
random657,1.8290733875914048e-05
random658,0.010532940534739688
random659,0.0014675887761454456
random660,0.00040253455848540876
random661,0.00011181632570390611
random662,4.158048239104357e-05
random663,0.0005433622043591147
random664,5.747651748971981e-05
random665,2.5884662872539995e-05
random666,1.2668881192568e-05
random667,1.833558561130793e-05
random668,1.7969826713347865e-05
random669,6.98663332320286e-05
random670,0.00010673496101605804
random671,4.100823919882351e-05
random672,1.3195883630257675e-05
random673,2.0882026664379927e-05
random674,0.0032807261115575955
random675,0.0004282602786445726
random676,9.424726280793737e-05
random677,5.282792059389897e-06
random678,9.835178744273334e-05
random679,0.00015179182171782212
random680,0.00014230488088825624
random681,9.85434570786267e-06
random682,1.2800043255509193e-05
random683,4.296300983562123e-05
random684,5.3309955311877456e-05
random685,3.700159354452636e-05
random686,6.884434194135475e-05
random687,0.00017193268458103497
random688,9.663871594658608e-06
random689,7.625694073994438e-05
random690,0.0030211347454603085
random691,0.0001520597415863983
random692,0.0003880441292093098
random693,8.184707767299681e-05
random694,0.00027782735445608354
random695,0.00020440654397956313
random696,0.0010385167316998064
random697,3.2110371095037213e-06
random698,7.17842394211252e-05
random699,4.8932702599219064e-05
random700,0.0004032899830536229
random701,8.498201875601017e-05
random702,0.00015239690934262538
random703,8.019170549022503e-05
random704,0.0002661295243614515
random705,4.250364465672143e-05
random706,0.00011687819006632723
random707,0.0006044109562157291
random708,3.5696760739703584e-05
random709,0.00029029621160096207
random710,6.84901500649216e-05
random711,0.00017535845835964985
random712,0.00028221039977298167
random713,2.1663378868711908e-05
random714,1.876811199564002e-05
random715,6.381366684164899e-05
random716,0.0005185249946265718
random717,0.00021339776336001923
random718,3.125060986116758e-05
random719,0.0001221258451374418
random720,1.419960995229941e-05
random721,0.0006798617024555874
random722,9.711585445501566e-05
random723,1.7322553479623564e-05
random724,2.3223219204355335e-05
random725,2.3230874227858782e-05
random726,0.0023195611556662142
random727,0.0015549509458159339
random728,7.363964304797662e-05
random729,1.738437310492127e-05
random730,0.00034246187889100236
random731,0.0008350874889789313
random732,8.089413879010159e-06
random733,0.0001874752468211254
random734,0.021983185125682956
random735,0.0007189141292239806
random736,4.692963071196976e-05
random737,0.00012583837329143576
random738,3.4060400050431257e-06
random739,0.00032075319571001136
random740,0.00010816227246216703
random741,5.1001172331372766e-05
random742,0.00024973469171595306
random743,0.00017482188352111347
random744,0.0005877109169229047
random745,4.260039168885827e-05
random746,3.319046647025105e-05
random747,8.62789443679775e-05
random748,8.353405651214065e-05
random749,5.4004435916656694e-05
random750,0.00019564011966520325
random751,0.012218058046054522
random752,2.6772241200946027e-05
random753,1.0889617995406875e-05
random754,0.001191368374771121
random755,0.0006472631852149181
random756,6.8267302259456e-05
random757,0.00011572945170195758
random758,8.141152226215019e-06
random759,0.0021037868956723664
random760,1.607786003048712e-05
random761,0.0005122655340109914
random762,0.0007780835384059422
random763,8.99489576184397e-05
random764,0.000565182074437165
random765,0.00022036290580559542
random766,0.00026540126208128464
random767,7.648605948515928e-06
random768,8.685771053233688e-05
random769,0.0035577933031836484
random770,0.0003622384914634818
random771,9.854073063552086e-06
random772,0.000902846542407608
random773,3.2462636079336015e-05
random774,0.004572983242647509
random775,0.0025293639970998213
random776,0.00033122824216758924
random777,5.7996741818285956e-05
random778,1.2581084106905404e-05
random779,2.8946554851269744e-05
random780,0.0033182637896396598
random781,0.0012390451049497226
random782,0.0007243827124219907
random783,9.150198800697036e-05
random784,7.200948766336123e-05
random785,0.0011580771358853624
random786,4.8994694406352913e-05
random787,0.000676258074609107
random788,3.259595776545694e-05
random789,0.0001164449880796497
random790,8.032482779865492e-06
random791,9.942514230703367e-05
random792,9.616416995503217e-06
random793,0.0009298777915214757
random794,0.0012331948054131311
random795,0.00020404837233368298
random796,4.0535360953010764e-05
random797,5.2805571308844024e-05
random798,0.0001717013287603765
random799,0.00018464811466401392
random800,7.415946311440982e-05
random801,2.3893874930416067e-05
random802,0.00012618299778522886
random803,2.9524402031333453e-05
random804,3.199408146750628e-05
random805,2.9483759201631272e-05
random806,7.062590549705029e-05
random807,0.00011618092812394875
random808,0.00018174794142045554
random809,0.00017428254141213132
random810,3.1168501110663846e-05
random811,0.0008615118073536696
random812,4.3639862844255036e-05
random813,0.0002634085029589936
random814,0.0006359455048237975
random815,4.356318307010242e-06
random816,0.00022676381443154455
random817,0.0017219555179573116
random818,0.0012601451713149736
random819,0.00041279561180761686
random820,3.7918907919802754e-05
random821,0.0019405527593221426
random822,5.813592494701334e-05
random823,1.7597015263454215e-05
random824,0.00023670032403716297
random825,0.00010414148544006799
random826,6.751027368438829e-05
random827,0.0003984611987882286
random828,9.648090125393206e-05
random829,2.8337485280101122e-06
random830,5.408657340046783e-05
random831,2.8306737705114494e-05
random832,0.00048673909477550903
random833,0.0002654739244567437
random834,8.77671799975508e-05
random835,8.674940621102465e-05
random836,1.9088559298558863e-06
random837,8.462739645312959e-05
random838,0.00010672894443146588
random839,1.2881711957978602e-05
random840,3.2701631850519006e-05
random841,3.3892805056357326e-05
random842,5.962750412410302e-05
random843,2.857646044307698e-05
random844,0.0001582569580553375
random845,0.00010781694973006452
random846,0.0014680914975675199
random847,6.165527020203389e-05
random848,1.2024220165923885e-05
random849,0.00024106543531539695
random850,8.367658070870049e-05
random851,5.12083248165501e-05
random852,4.965578434491271e-06
random853,0.0012441304020649661
random854,0.0006518634610043045
random855,1.9574945971381356e-05
random856,0.00023450805330274725
random857,5.635992932753978e-05
random858,1.1080379943737622e-05
random859,6.143350242624439e-05
random860,0.00011929593608832335
random861,1.8738629366838914e-05
random862,3.951404932390788e-05
random863,0.00041849950320666147
random864,0.000205159633533898
random865,0.00016940663847418873
random866,0.00021301352712095674
random867,0.0003188441605906749
random868,0.0003796976195052982
random869,0.0026521347454543445
random870,4.747147670835722e-05
random871,0.00104689830045221
random872,1.4164318379128842e-05
random873,0.007877773278530049
random874,8.558324904119703e-05
random875,2.1469034993377527e-05
random876,0.00020841905907882378
random877,0.0001349790166995332
random878,3.0123007309583216e-05
random879,0.0002917919586289429
random880,2.3995757481462876e-05
random881,0.0001221675311714802
random882,0.002992445567292755
random883,2.003839138025738e-05
random884,1.4349122605730685e-05
random885,3.2115116323145655e-05
random886,0.00019708673228776782
random887,0.00014953053675433508
random888,0.0001791121017089968
random889,0.00027079744997038086
random890,0.0003179976992740009
random891,0.008264456970722306
random892,0.00015984815714539945
random893,6.0658436929508424e-05
random894,7.697609018310259e-05
random895,0.00015042023787144732
random896,6.884341558383603e-05
random897,0.0020158100688253693
random898,4.4745300121861546e-05
random899,6.399419421001275e-05
random900,5.983706907856742e-05
random901,5.6645694452897535e-05
random902,0.00043474747816944466
random903,0.0017183060596168977
random904,1.4990268637426898e-05
random905,0.0005445528635740192
random906,0.0001722342856755752
random907,0.00022966530928658814
random908,8.696414668553387e-05
random909,0.0003019610415739911
random910,5.5016266878438575e-05
random911,0.0035357217553389176
random912,1.817632870179509e-05
random913,0.00020543397893212946
random914,0.00046955247765372986
random915,6.987765865151498e-05
random916,1.644172511096865e-05
random917,0.00012937981953731312
random918,0.00015901552611877185
random919,0.002379661211262264
random920,1.5152942275748854e-05
random921,0.00021880721918628496
random922,4.512994983244431e-05
random923,0.00011023776754188954
random924,0.000582163948614102
random925,0.00013456976033506587
random926,2.1850510873183054e-05
random927,3.2735836304142614e-05
random928,0.00012315614799009324
random929,0.0002880173144029414
random930,8.625116164850614e-05
random931,6.16963554935414e-05
random932,0.0038458686764197515
random933,9.208201290877686e-05
random934,4.44209664234527e-05
random935,0.0001943011711373974
random936,1.56823961921682e-05
random937,9.079285105780586e-05
random938,8.208519634085255e-05
random939,9.25568984232867e-05
random940,0.0005167381178370393
random941,8.288501060569109e-05
random942,1.0865559590863502e-05
random943,3.987139290405707e-05
random944,8.13277772952696e-06
random945,6.539586061640807e-05
random946,0.001412569849443172
random947,0.0006709518591598778
random948,0.0056495950773660375
random949,3.934359593273145e-05
random950,2.2286617963874807e-05
random951,0.00013937547910237972
random952,0.0011213391936996024
random953,4.0359838566722033e-05
random954,8.278312369432061e-05
random955,1.67986492234535e-05
random956,0.0021280791821749216
random957,3.340496871352167e-06
random958,7.8885296464599e-06
random959,2.817286764193161e-05
random960,1.6779374968188254e-05
random961,3.497051526456597e-05
random962,5.868500205803582e-05
random963,1.734564233728779e-05
random964,0.00014132786055528394
random965,6.94584236092346e-05
random966,0.00012897788081272233
random967,7.421153079650247e-05
random968,1.8695103593634393e-05
random969,9.833758992697176e-07
random970,0.00012712728798160391
random971,0.00057317764694956
random972,0.0004568985805600571
random973,0.00020373335275638397
random974,0.00042266770074645327
random975,1.1802186125002133e-05
random976,5.163182919617192e-05
random977,2.8925160575444477e-05
random978,4.0546018597753486e-05
random979,0.0001263028484235942
random980,7.329868539149115e-05
random981,0.010199261854866056
random982,1.0584584144399087e-05
random983,2.552441637947533e-05
random984,1.4817486593683572e-05
random985,0.0006729300205292375
random986,0.00011250861534268208
random987,1.044791165033719e-05
random988,0.0006980052378737058
random989,0.0002742644476289572
random990,7.396372933273897e-05
random991,9.37242611276853e-06
random992,1.6782864404287884e-05
random993,0.00012552198801159313
random994,3.46169249656485e-05
random995,0.00010642377123489177
random996,0.0001586874384033225
random997,3.7150655166733266e-05
random998,0.000931209769989326
random999,0.0003365746097712759
random1000,2.7913847763508826e-05
