gene,uni_marker_gene,cv_values
b1184,b1114,0.0404518550762541
b2761,b2761,0.0861164346857199
b2779,b2779,0.0701961284060215
b0393,b2831,0.0484515260997364
b3416,b3416,0.0782798099793601
b2511,b3308,0.0649665340461132
b2608,b0051,0.0444283774152654
b2257,b2257,0.0690963947922021
b3135,b3135,0.0574197779609317
b1094,b1094,0.0457948491968889
b2140,b2895,0.0416241094013324
b0042,b1187,0.0445630530279996
b2810,b2810,0.0832844310388814
b3943,b3943,0.0756244110453069
b0260,b0260,0.105316886962886
b4141,b4141,0.0509984978427125
b2582,b3781,0.0414037651275052
b0722,b0724,0.107504336974753
b2026,b0529,0.0743617801904577
b2023,b2023,0.106010286252174
b1158,b2699,0.0904916992564461
b1609,b2218,0.043644278176416
b3422,b2709,0.0421054902464237
b1261,b4388,0.0479221803346974
b3169,b2291,0.0415422453147199
b1286,b1844,0.0442041088807822
b0051,b0051,0.0444283774152654
b3996,b3996,0.0690250442309205
b0505,b0505,0.0666021153444392
b0211,b0433,0.0529915679767197
b0981,b3788,0.0491792200793261
b3338,b3338,0.0717883961258133
b0238,b1813,0.0398464631008616
b0606,b0605,0.0580370965070825
b4390,b3423,0.0440289930499956
b3342,b3342,0.0744383627457003
b2699,b2699,0.0904916992564461
b3064,b3234,0.0364795471441631
b0436,b0525,0.0505929001695206
b3987,b3987,0.0631970992901449
b2581,b2581,0.0417397010056137
b3400,b4171,0.0549751286863373
b3230,b3297,0.0772525931558195
b3984,b3984,0.0894161770647222
b0659,b1128,0.0457238937849552
b3635,b0714,0.0431368142609513
b1114,b1114,0.0404518550762541
b2616,b2184,0.0372385995216239
b4059,b4389,0.0408700475611585
b2159,b2159,0.0887269640509151
b0876,b0876,0.0543093878232381
b4483,b4378,0.0484269724949863
b0957,b0957,0.0672207029688382
b2614,b2614,0.0656149364211436
b3261,b3261,0.11810744748376
b0924,b0924,0.0462493858322762
b1278,b1278,0.0924107823457319
b3053,b3053,0.0709736740317046
b1719,b0930,0.0719198476127192
b1176,b3251,0.0653984609458886
b0415,b0415,0.0624443029257653
b0368,b0368,0.069227604749836
b0084,b2184,0.0372385995216239
b3641,b3641,0.0562707984759153
b1856,b2865,0.0434005400715418
b2910,b2910,0.0646108859580528
b2949,b2268,0.0454596256296063
b1618,b0846,0.0432663332594504
b1399,b0840,0.0477896713742406
b3906,b2382,0.0430429783973977
b3461,b3461,0.077955306566524
b3842,b4260,0.055049816216988
b1735,b1735,0.0704173835067855
b4124,b4124,0.0583500051884787
b1823,b2011,0.0520148207977049
b0693,b3190,0.0979637318131318
b3181,b3181,0.0922331902297017
b2741,b3067,0.0664426365391469
b0694,b0694,0.0512016490066909
b2217,b2697,0.0644846282002939
b0487,b0487,0.0919838927011505
b3753,b3753,0.0590646217815372
b3451,b1294,0.0439629480812198
b3590,b3590,0.0590904568593313
b2745,b0058,0.0552636101484126
b0178,b0053,0.051118631663111
b3724,b3129,0.0636279855764715
b1805,b1805,0.117770355067546
b3056,b3056,0.0437830728057041
b3704,b3704,0.0957787887810404
b2086,b2086,0.111596402658838
b4208,b4208,0.0718496212815927
b1045,b1045,0.0769908791139191
b2143,b2143,0.103647204066719
b2473,b2473,0.0684047231860918
b0174,b2184,0.0372385995216239
b0144,b0144,0.0694858303036793
b3706,b4161,0.055254051882788
b0406,b0444,0.0407629374202666
b2559,b2559,0.053859645811908
b2474,b2474,0.071925690616658
b2532,b4403,0.0616383005407688
b3606,b3606,0.0698616570227788
b0188,b0188,0.0454603342930874
b1133,b2324,0.0553922828908375
b4258,b0481,0.0417635152725545
b3305,b3305,0.0932277438884119
b0172,b0172,0.0646785576783041
b1787,b1787,0.0616910324002606
b2517,b0051,0.0444283774152654
b0423,b3056,0.0437830728057041
b3651,b3651,0.0618378035727254
b2607,b2746,0.0705212704233261
b3709,b0402,0.0419863443117003
b2575,b1844,0.0442041088807822
b3292,b2184,0.0372385995216239
b4052,b2184,0.0372385995216239
b2916,b0687,0.0742270788421557
b0687,b3019,0.0390292237180057
b2186,b0051,0.0444283774152654
b0424,b0015,0.0641465936703008
b1637,b2581,0.0417397010056137
b1343,b3162,0.078589113655208
b3282,b0481,0.0417635152725545
b4532,b0051,0.0444283774152654
b0118,b1276,0.0779345928145827
b1480,b2184,0.0372385995216239
b1718,b1718,0.0486917813049896
b3980,b3339,0.036843390589445
b0441,b0525,0.0505929001695206
b0604,b2893,0.0498968109422503
b1940,b1940,0.113924913018634
b2102,b2435,0.0472390385230131
b3132,b2304,0.041427649794968
b1896,b3368,0.0582228616471408
b0628,b0628,0.0643991087501563
b1218,b1218,0.0708787817840691
b3447,b3447,0.0641614896544524
b3018,b3018,0.0434060729025132
b1014,b1014,0.0823369324721824
b3432,b3432,0.0642854760455863
b0142,b0142,0.0777305124453426
b2601,b1704,0.0701188410469777
b1727,b1727,0.0617384186047701
b1693,b1693,0.0757108545879959
b3389,b3389,0.0683276237685896
b3846,b1395,0.07151601650458
b1800,b1800,0.0804778271017691
b1302,b1302,0.0867130707336527
b1723,b3916,0.0563555388803929
b2585,b2585,0.0556820172776153
b2780,b2780,0.0722439676226581
b1961,b1961,0.0591071053453778
b1183,b1114,0.0404518550762541
b3066,b3066,0.060373578075754
b3202,b3202,0.0535936650521706
b0708,b0708,0.0694443797542686
b2068,b3549,0.0390310609633677
b2213,b1335,0.0989439396755288
b3421,b2411,0.0559681055655784
b3647,b2411,0.0559681055655784
b3283,b3019,0.0390292237180057
b3030,b3019,0.0390292237180057
b0025,b0025,0.0526761493704915
b0104,b0104,0.0757779851032971
b2507,b2507,0.109344035213057
b3168,b3339,0.036843390589445
b1277,b1277,0.0612812802702964
b2508,b2508,0.101790993863808
b3117,b1814,0.0752156179556188
b2319,b3772,0.0683708627887498
b2024,b2024,0.0745729697960175
b2615,b3916,0.0563555388803929
b1740,b1740,0.0672544261514399
b1872,b0947,0.0479455851282942
b0046,b3351,0.0522747364247561
b3962,b3962,0.0880923586414837
b2764,b0662,0.0451169120967637
b1650,b2794,0.0653125027287289
b4051,b4051,0.0950095507472325
b3939,b3939,0.077740815374285
b4475,b4475,0.106041116810122
b3730,b3730,0.109258264989023
b2028,b3787,0.0598501581811827
b2042,b1236,0.0953037704993208
b0078,b3671,0.0869193325134417
b2844,b1393,0.0658361615174434
b0185,b0185,0.0612208742024911
b1748,b2938,0.0575058394554264
b0980,b0980,0.0823233616125626
b0968,b3034,0.0481769265676937
b0469,b0469,0.100016784490165
b4095,b1623,0.0797275604534479
b2822,b0962,0.0374569704831026
b0148,b2184,0.0372385995216239
b0120,b0120,0.108382038007748
b0774,b0774,0.0831911320514612
b0607,b2218,0.043644278176416
b4177,b4177,0.0727531281523135
b2379,b2379,0.0534263686164533
b1241,b3414,0.051925819253049
b0356,b2154,0.0852788707820276
b1746,b1525,0.0644795397652564
b1300,b1300,0.0696698833474315
b2834,b2834,0.0476328677038575
b3879,b2544,0.0499503437001575
b0383,b0383,0.0693232201031893
b0512,b0512,0.11433703503447
b3570,b1326,0.0721945989706726
b1204,b0191,0.0598009656431605
b2905,b2905,0.0937163519659941
b1263,b3360,0.0626291790668163
b1463,b1463,0.0639818029499658
b3801,b3801,0.080063766233402
b0674,b3744,0.0691073092228326
b2957,b1767,0.0597675407970833
b0131,b0131,0.0573605014844687
b4024,b0695,0.0631750131828822
b3256,b3256,0.109778851753389
b3973,b3973,0.08122355404348
b3770,b1096,0.0575008266656303
b0339,b0126,0.104409004380458
b3665,b3942,0.0678218188341712
b2329,b2329,0.101209413698764
b3867,b2436,0.0513173237228126
b0147,b0147,0.0587483318649306
b3032,b3032,0.0526611641216135
b3591,b3591,0.0650000228561608
b0910,b0910,0.0976712188975798
b0430,b0432,0.101339608504286
b3518,b3518,0.0864239525816988
b3431,b3431,0.0636146487653584
b4381,b4381,0.0842117539224618
b0103,b0103,0.0495213438163093
b1593,b1288,0.0576428855026147
b4042,b4042,0.0408863370251062
b1584,b3550,0.0415174231238703
b1606,b0048,0.0593412926317899
b0116,b0116,0.0743895010409961
b0727,b0727,0.0976761687533917
b3058,b3058,0.046072669495773
b2147,b1614,0.0636730233788348
b0578,b0578,0.0673245935911785
b3177,b3177,0.0810105352354564
b2146,b2147,0.088747031645449
b3771,b3771,0.0687947659934093
b0421,b0421,0.0907105659031313
b2251,b2251,0.0868641824407193
b0043,b0043,0.074657987454612
b3424,b2568,0.0394775273281152
b0955,b0438,0.0537595510052317
b3898,b0932,0.0533127410197733
b1192,b0867,0.0489339297855838
b3396,b3396,0.0531864103886777
b2717,b2717,0.0623882012987066
b4043,b3234,0.0364795471441631
b1387,b1393,0.0658361615174434
b2502,b2744,0.0860059554495961
b1092,b1092,0.0809194460863802
b1091,b2323,0.0716301986489042
b1093,b1093,0.109211669704304
b1288,b1288,0.0576428855026147
b3924,b3924,0.0939654110313945
b0475,b0475,0.0506532111823675
b2315,b2315,0.0642229630016429
b2925,b2925,0.0827899416569086
b1611,b1612,0.0966018355223048
b0758,b0757,0.0708309243376168
b2388,b2388,0.0589999809096597
b3718,b0677,0.0514064278366701
b1852,b1852,0.0773391684553705
b4025,b4025,0.0742216384959117
b0242,b0242,0.0881322464381732
b0243,b0243,0.0769231126566079
b3870,b1297,0.0936506919363565
b0581,b0444,0.0407629374202666
b1524,b1524,0.0511678383395453
b3500,b3500,0.0755913554697476
b2947,b3447,0.0641614896544524
b3229,b3592,0.04670510193979
b1779,b1779,0.0512525945540246
b3059,b4041,0.0503742651826908
b3608,b3608,0.0526302904257604
b1200,b1199,0.0734351256835555
b3429,b3429,0.0774998133243444
b2903,b0116,0.0743895010409961
b3648,b3648,0.0599464538761571
b3783,b4052,0.0582449563631376
b0394,b0394,0.050777593230113
b3940,b3940,0.0655115758084897
b0927,b0927,0.0592860257594649
b3805,b0154,0.0607007660908364
b4226,b4226,0.0733447976014739
b2889,b0029,0.0413727101923496
b0307,b0308,0.0860807773249006
b1651,b1651,0.061732998075235
b2463,b1479,0.106877095871606
b2976,b2976,0.098955899092139
b2049,b2688,0.0725502221843138
b1613,b1613,0.0778408856555261
b0529,b2912,0.0646852338999325
b3288,b3288,0.0756536268010551
b2919,b2919,0.0685208385902318
b2917,b2917,0.0744578956899017
b3029,b0662,0.0451169120967637
b0109,b0109,0.0492680932760629
b0639,b0639,0.0834230426350714
b0931,b0931,0.0734948245299295
b3130,b2831,0.0484515260997364
b1340,b1340,0.0866570611386057
b1724,b1084,0.0678481622462544
b0183,b0214,0.0553022703112503
b2567,b2567,0.0648591975070537
b3643,b1844,0.0442041088807822
b2945,b2945,0.0751203113798311
b2268,b2268,0.0454596256296063
b1266,b2291,0.0415422453147199
b3719,b3825,0.0448138446627563
b1197,b3519,0.076136011096877
b1927,b1927,0.0864932679549605
b4119,b4119,0.113594788186702
b0403,b0403,0.0514501807498195
b0732,b0732,0.0670574911017588
b1107,b1107,0.0991505060258987
b1617,b1617,0.0635933543694359
b2965,b2965,0.047123538272135
b3642,b3642,0.0612137902868993
b1281,b4196,0.0417389389228088
b0726,b0726,0.108546022079318
b0133,b0425,0.0536522464950644
b3974,b0103,0.0495213438163093
b3634,b3634,0.059270493242455
b1427,b3550,0.0415174231238703
b2989,b2195,0.0439110707567087
b1710,b1710,0.0598804849146265
b1409,b0418,0.0426014665306704
b4160,b4160,0.0465530686934502
b0688,b0688,0.0578762584813744
b0509,b1779,0.0512525945540246
b2926,b2926,0.0716028113693371
b4395,b4395,0.0628375258545525
b0494,b0494,0.0448916634745682
b1234,b3825,0.0448138446627563
b3821,b2436,0.0513173237228126
b0789,b0789,0.0687075176958258
b3639,b3639,0.0684627739353347
b4005,b4005,0.103184491957339
b4382,b4382,0.0868180880825514
b4055,b4388,0.0479221803346974
b0143,b0143,0.0585258077500713
b3164,b3164,0.0570565612012784
b0369,b0369,0.0618930361818283
b3187,b3187,0.0483527697636018
b3835,b0662,0.0451169120967637
b4125,b3813,0.0474048112167254
b2415,b3859,0.0602784844113454
b2743,b2743,0.0467318898046332
b3668,b3404,0.0477831745373624
b4016,b3430,0.0698106227510221
b1411,b1411,0.0686071123750857
b3850,b3850,0.0595712138394006
b2165,b2165,0.0984089455701779
b2407,b1740,0.0672544261514399
b1638,b2418,0.0555285342183659
b0386,b0386,0.0410592529662651
b0115,b2904,0.088943712757243
b0114,b0114,0.0984140873878642
b1854,b1854,0.0732089974786562
b1662,b0025,0.0526761493704915
b3752,b2100,0.0503271677224401
b2676,b3610,0.0655132645756609
b1207,b0048,0.0593412926317899
b4301,b3386,0.0502780939169159
b2914,b2100,0.0503271677224401
b1764,b1764,0.0467948312237862
b1692,b3281,0.0962218156672272
b0388,b3389,0.0683276237685896
b0121,b2965,0.047123538272135
b0728,b2210,0.0731112490335762
b2661,b1525,0.0644795397652564
b3908,b2907,0.0508303492142024
b1134,b1134,0.102055787714941
b0888,b0888,0.0821499443875007
b1308,b2668,0.0480726137507652
b3772,b3772,0.0683708627887498
b1238,b4162,0.0542057808157327
b1098,b1098,0.0556547598147077
b2827,b2827,0.0489070100170775
b0008,b4196,0.0417389389228088
b2465,b3386,0.0502780939169159
b3484,b0228,0.0757788793760626
b4190,b4190,0.0481417350341452
b3919,b2930,0.0496262663425753
b0526,b0526,0.0708983905211878
b2697,b2697,0.0644846282002939
b3559,b3559,0.0528412083460783
b1866,b1866,0.0937372466626159
b0930,b0930,0.0719198476127192
b2400,b2400,0.0453624959268914
b0680,b0680,0.0887095052903333
b2514,b2514,0.0568607003614281
b0026,b0026,0.104801690121915
b0642,b0642,0.0451353208312414
b4129,b3038,0.055688839071907
b2114,b2114,0.0773830982402681
b1713,b1714,0.0800463244180022
b0194,b0194,0.0671110423164146
b0893,b1764,0.0467948312237862
b3384,b3384,0.0809019602270835
b2580,b3068,0.0602721852254708
b2066,b3355,0.0542820611238826
b3831,b1114,0.0404518550762541
b3803,b3803,0.0535466048133093
b3804,b3804,0.0463312621332809
b3997,b2400,0.0453624959268914
b2866,b3492,0.0441962462169617
b3564,b0394,0.050777593230113
b3204,b3204,0.0447846498717143
b2520,b2520,0.0524774981361011
b1951,b3529,0.0498224980151606
b3966,b0158,0.0476105913281133
b1885,b1421,0.104352389841306
b0811,b0863,0.100870847010669
b1591,b0492,0.0524532966351864
b0170,b3866,0.0514096709808495
b3866,b3866,0.0514096709808495
b1080,b2528,0.0559427111847973
b0067,b0818,0.0531203101451913
b2389,b0155,0.0415921756683941
b1592,b0155,0.0415921756683941
b3196,b0961,0.0663964951517619
b3849,b3849,0.0449157790255047
b0511,b0511,0.108319979655479
b3089,b3089,0.0837000861379776
b4111,b4111,0.0791661608465765
b1015,b4111,0.0791661608465765
b2682,b0401,0.0609621886497908
b4020,b4020,0.0550411983024796
b0914,b0914,0.0614500476769963
b2406,b0055,0.0379539217108001
b2552,b2552,0.0682579839324474
b4064,b4064,0.0678151710920064
b3224,b3899,0.0619618691517229
b4034,b1621,0.0815710079951131
b0572,b0574,0.106113353807205
b3040,b3915,0.0396498327551522
b4476,b4476,0.0717427010535283
b1223,b1223,0.104231951638156
b3990,b4146,0.0400299831012149
b1386,b3781,0.0414037651275052
b1711,b3339,0.036843390589445
b3469,b2184,0.0372385995216239
b2498,b3339,0.036843390589445
b0028,b0028,0.0578193790160966
b4320,b0533,0.0799488574479046
b2898,b2898,0.0681045920558744
b0182,b3019,0.0390292237180057
b3193,b3191,0.0451987779287547
b0611,b3929,0.0498990522541638
b1316,b2963,0.0552509467875506
b3131,b2709,0.0421054902464237
b0304,b2542,0.056870886139062
b4362,b4362,0.0485178551417763
b1973,b3234,0.0364795471441631
b2610,b2610,0.0783275136450571
b4108,b2495,0.0368856875274702
b3247,b3247,0.0500291483091782
b4336,b3339,0.036843390589445
b3916,b3916,0.0563555388803929
b3417,b0403,0.0514501807498195
b1309,b1309,0.0964855980535672
b4232,b2930,0.0496262663425753
b4241,b4241,0.0516969047457022
b4239,b3519,0.076136011096877
b3946,b0825,0.0748454308916585
b2168,b4232,0.0791777445972617
b2805,b2805,0.0659438672095756
b0902,b2544,0.0499503437001575
b3612,b3916,0.0563555388803929
b3532,b1956,0.0678672109911185
b2837,b2837,0.0481540624576391
b4094,b4094,0.0587455207463576
b2533,b2533,0.0657524162027755
b1640,b1640,0.0670821405158417
b1119,b1119,0.0578525754564633
b3222,b3222,0.08126285633585
b2705,b2705,0.117631171726518
b3425,b2930,0.0496262663425753
b2297,b2296,0.0750321787084493
b2920,b2920,0.065326580453809
b2296,b2296,0.0750321787084493
b0871,b1677,0.0600381243538891
b4018,b0506,0.047689372801924
b0729,b2897,0.0816592177096087
b4151,b1611,0.10432974080467
b1799,b3236,0.0749406450693015
b3236,b3236,0.0749406450693015
b0734,b0733,0.0943112981632809
b2236,b2236,0.075108609361976
b3407,b2949,0.0620364982472836
b0517,b0030,0.0690470224029138
b2867,b0662,0.0451169120967637
b0030,b4384,0.0680163684406082
b1623,b1623,0.0797275604534479
b2518,b2780,0.0722439676226581
b1658,b4177,0.0727531281523135
b0125,b0125,0.0513144216056952
b0474,b1982,0.0720319152714657
b2781,b3248,0.0657829100792339
b2870,b4196,0.0417389389228088
b1011,b1539,0.0787572432586862
b0171,b1098,0.0556547598147077
b3355,b3355,0.0542820611238826
b3640,b2291,0.0415422453147199
b2065,b2065,0.0557414520796517
b0892,b4362,0.0485178551417763
b0467,b3935,0.0588599438303597
b3701,b4361,0.0595696806860477
b1610,b1610,0.0875218890389605
b3702,b3702,0.0779332194161912
b2894,b3019,0.0390292237180057
b2698,b1105,0.0514583868274806
b1749,b3549,0.0390310609633677
b2831,b2831,0.0484515260997364
b2212,b3549,0.0390310609633677
b4313,b0962,0.0374569704831026
b3243,b3202,0.0535936650521706
b3982,b3406,0.0631678775766506
b3569,b3010,0.0401325644647335
b3211,b0424,0.111785274613248
b1413,b0143,0.0585258077500713
b2791,b2268,0.0454596256296063
b4539,b2830,0.0498459966324086
b4375,b1211,0.053890782213774
b3705,b3649,0.0743842692327079
b0167,b0657,0.0490622271792006
b1766,b2568,0.0394775273281152
b2734,b3404,0.0477831745373624
b4019,b2743,0.0467318898046332
b4359,b1049,0.0693851380997133
b0161,b0955,0.0541294757165853
b1127,b1538,0.0859704319351362
b3708,b2812,0.0383493352846142
b1190,b4053,0.0572671257979149
b3237,b3957,0.0648349687612316
b4054,b1096,0.0575008266656303
b3607,b3607,0.0583591826189816
b2468,b1524,0.0511678383395453
b0223,b0223,0.0410935025720609
b0048,b0870,0.0515895446006093
b4131,b0186,0.0828380507904349
b2366,b1919,0.0716429276145356
b3616,b4388,0.0479221803346974
b2551,b4019,0.062518506986497
b3113,b3772,0.0683708627887498
b3114,b0870,0.0515895446006093
b3609,b0053,0.051118631663111
b3464,b3464,0.0770590174507421
b1701,b2836,0.0430477076543461
b3963,b1094,0.0457948491968889
b0452,b0452,0.0703738883958172
b1461,b3039,0.0842848582898526
b1232,b0048,0.0593412926317899
b1941,b1941,0.108918133040711
b2501,b2501,0.0795816342349339
b2303,b2303,0.081677356006306
b1768,b1768,0.0601669178635819
b1106,b4394,0.0434456915144295
b2206,b0781,0.0625650329007038
b2425,b0155,0.0415921756683941
b1919,b1919,0.0716429276145356
b3779,b3779,0.0695312257144779
b1429,b1429,0.0528526769686405
b1250,b3234,0.0364795471441631
b1186,b3915,0.0396498327551522
b0400,b3726,0.060186585772533
b2246,b3667,0.0591356759840271
b0155,b0155,0.0415921756683941
b0484,b0484,0.111225332240455
b2392,b3915,0.0396498327551522
b3927,b0875,0.0628514104180338
b4077,b1206,0.0736184180361236
b1985,b2076,0.0470678308504686
b2968,b2968,0.0707120293151142
b3823,b2128,0.0600579074938502
b3915,b3915,0.0396498327551522
b0573,b3822,0.0596268156474603
b2529,b3915,0.0396498327551522
b1905,b1902,0.0834783483968186
b1191,b1191,0.103861038756657
b0019,b3258,0.0650659803721533
b3300,b3175,0.0926505435278484
b1887,b2533,0.0657524162027755
b2592,b2592,0.108313455148026
b1857,b3234,0.0364795471441631
b0695,b0695,0.0631750131828822
b1679,b2811,0.0448092274635683
b2220,b2220,0.0902011115583178
b1066,b3790,0.0538086530548154
b2005,b2005,0.103102404310966
b2733,b4389,0.0408700475611585
b3308,b3308,0.0649665340461132
b3003,b0493,0.0421418175575168
b4219,b4219,0.0768172677773209
b0476,b0476,0.0485779878014748
b3439,b3439,0.0468743817835666
b1976,b1707,0.106856336367522
b1109,b2487,0.061130123040321
b0623,b2576,0.0827996343540875
b0464,b0149,0.0434720658298682
b0880,b3702,0.0779332194161912
b2960,b2960,0.0991107479542265
b0721,b0124,0.0688517484389899
b3287,b1128,0.0457238937849552
b3807,b3891,0.0575119215822212
b2988,b2988,0.0629553828203482
b3235,b3234,0.0364795471441631
b0193,b1655,0.0709012703307219
b2908,b4260,0.055049816216988
b1807,b2472,0.0420484542835586
b4374,b0675,0.0610275049382562
b2744,b0675,0.0610275049382562
b3068,b3068,0.0602721852254708
b0397,b0397,0.080809180585087
b3209,b3209,0.0482916580350985
b0627,b3839,0.0563204655514137
b3685,b3290,0.0655090572947823
b1022,b1022,0.089142521636083
b2480,b0605,0.0580370965070825
b1330,b2218,0.043644278176416
b2892,b2892,0.0610019827611617
b0038,b0038,0.0785092346104873
b4040,b4040,0.0658051153357546
b0099,b0099,0.0755611356049658
b3721,b2901,0.0456400923145189
b2232,b2232,0.0473760615416884
b3929,b3929,0.0498990522541638
b1474,b1474,0.0935343052110931
b4214,b4214,0.0980982413139748
b1912,b0418,0.0426014665306704
b2053,b2053,0.0859099706351392
b0677,b0677,0.0514064278366701
b3788,b3788,0.0491792200793261
b4187,b4187,0.100781427022157
b2162,b3399,0.0527273673423379
b1636,b2418,0.0555285342183659
b3572,b2965,0.047123538272135
b3678,b3678,0.0721792116408259
b0428,b0428,0.106637246932174
b4356,b2789,0.0727315564662183
b0451,b0451,0.119435601988143
b0696,b0696,0.0707003150657958
b0449,b0449,0.0482406930448806
b3329,b1209,0.0527912580601325
b4463,b1094,0.0457948491968889
b2564,b2564,0.0512153685237301
b2812,b2812,0.0383493352846142
b3450,b3415,0.0614695551519644
b3179,b3179,0.0730503607312103
b2252,b1279,0.054932479506051
b1090,b4042,0.0408863370251062
b0101,b2009,0.0838348301435787
b0420,b0420,0.0776138215125136
b4213,b4213,0.064160191351961
b0166,b0166,0.0625781122076974
b3081,b3081,0.0840091784240853
b3693,b3693,0.0893129615505547
b3126,b3126,0.102080060049182
b3526,b3526,0.0946138388260413
b4477,b4477,0.0987758542510076
b1850,b1850,0.0658340379178658
b1215,b1215,0.110486429891984
b0425,b0425,0.0536522464950644
b2842,b2842,0.0856012875437413
b2907,b2907,0.0508303492142024
b0662,b0662,0.0451169120967637
b3041,b3041,0.0601299240135171
b0918,b0918,0.0588808825038396
b1395,b1395,0.07151601650458
b0954,b0180,0.0652378937694641
b3843,b2311,0.068412256327614
b2542,b0349,0.0536182594701902
b1096,b1096,0.0575008266656303
b2843,b2843,0.106857845070869
b0414,b0414,0.0815357085658243
b1734,b2901,0.0456400923145189
b1619,b1619,0.10201112707347
b3619,b3619,0.0504197161625438
b3623,b3621,0.0523744233941729
b1982,b1982,0.0720319152714657
b3918,b3918,0.0878370178638879
b0092,b0381,0.0481127918170893
b1380,b1380,0.0845748422169419
b1012,b0935,0.0946076146252843
b2051,b2051,0.072521612405959
b3650,b3650,0.0852892429552483
b3062,b3062,0.0826315101181396
b0870,b0870,0.0515895446006093
b0035,b0039,0.0596961680251992
b2802,b2802,0.0811912719189825
b2803,b2803,0.0670018497017643
b3583,b4198,0.0534815396377735
b3589,b3589,0.0810060578948049
b3580,b3580,0.0923832526239932
b4169,b2435,0.0472390385230131
b3225,b3225,0.113338967840789
b1007,b1412,0.0601664060757901
b3028,b3028,0.0514558698967522
b2260,b2260,0.0669999031135667
b1430,b2232,0.0473760615416884
b0524,b0524,0.0607031712760646
b0096,b0096,0.0704099045272726
b3189,b3189,0.0720401252430812
b3786,b3786,0.0678290826198205
b3972,b3972,0.0903273263349261
b0091,b0091,0.0772909778684188
b0085,b0085,0.117086768017666
b0086,b0086,0.0779741569877706
b0480,b0480,0.096205109723816
b0404,b0404,0.0594985690201052
b1694,b2221,0.104827206623829
b3115,b2296,0.0750321787084493
b3957,b3957,0.0648349687612316
b2836,b2836,0.0430477076543461
b0181,b0181,0.0795752328234947
b3198,b3198,0.0453333544454145
b0159,b0159,0.046152334686234
b4090,b4090,0.0653430480091225
b4084,b4084,0.0759766963308645
b3091,b3091,0.046153231126525
b2938,b2938,0.0575058394554264
b2495,b2495,0.0368856875274702
b0049,b0049,0.0657712923524699
b4328,b0828,0.0722386864620123
b4150,b0632,0.0868600654978061
b2690,b2690,0.0824691325727606
b0311,b0311,0.0854981235053448
b0521,b2874,0.0623226714502696
b3830,b3830,0.0902589192446031
b1046,b0789,0.0687075176958258
b3531,b3531,0.0548060293700757
b4039,b4039,0.0586054609330414
b2459,b1270,0.0544588010392509
b1992,b1992,0.0562892370656038
b1993,b1993,0.062286387428814
b2755,b2798,0.0571267135286664
b0340,b0340,0.0945354700645829
b0429,b2276,0.068488568833027
b1865,b1812,0.0414892499477327
b0160,b0160,0.102152162065582
b2838,b2838,0.0627199329707068
b3809,b3809,0.055059507458149
b2871,b2871,0.0876572400416966
b0031,b0031,0.0810116667909064
b2478,b2472,0.0420484542835586
b0585,b0585,0.11697897067356
b2440,b2440,0.0477562093537782
b2011,b2011,0.0520148207977049
b2509,b2509,0.0739649108335086
b1501,b4079,0.0751676819881786
b3128,b3128,0.0805127191173222
b2787,b2787,0.0463823505791236
b3553,b1033,0.0573215709213769
b4266,b4266,0.074329165238153
b0124,b0124,0.0688517484389899
b1002,b1002,0.107614564087779
b3430,b3430,0.0698106227510221
b3789,b3789,0.0857599043694042
b3092,b3091,0.046153231126525
b3967,b3967,0.0784283887335325
b1210,b1210,0.0874970326804548
b0514,b0514,0.118389843025993
b2239,b3449,0.055656212965
b2979,b4467,0.0862910125416043
b0583,b3475,0.0600438550226467
b2997,b2994,0.0731368387797996
b2418,b2418,0.0555285342183659
b2739,b0508,0.0777053235799982
b0477,b0477,0.0880559693691974
b2265,b2265,0.0521204632827467
b2799,b2799,0.0721251785274312
b1054,b1054,0.0425441977859493
b0885,b0885,0.0453861367666677
b3626,b3631,0.088558244391954
b3621,b3621,0.0523744233941729
